name, status, platform, notes,
Guilty Gear, finished, PS5
Guilty Gear Xrd, finished, PS5
Guilty Gear Strive, finished, PS5
A Short Hike,finished, PC,
Citizen Sleeper,finished, PC,
Citizen Sleeper 2 Starward Vector,finished, PC,
Psychonauts,finished, PC,
Psychonauts 2,finished, PC,
Teardown,finished, PC,
Wildermyth,finished, PC,
Doki Doki Literature Club,finished, PC,
Gris,finished, PC,
Disco Elysium,finished, PC,
Solasta Crown of the Magister,bought, PC,
Pillars of Eternity,finished, PC,
Pillars of Eternity II Deadfire,finished, PC,
Dishonored,finished, PC,
Dishonored 2,finished, PC,
Dishonored Death of the Outsider,finished, PC,
Prey,finished, PS5,
Deathloop,finished, PS5,
Batman Arkham City,finished, Xbox 360
Batman Arkham Knight,finished, PC,
Aliens Colonial Marines,finished, PC,
Aliens vs Predator,finished, PC,
Planescape Torment,finished, PC,
Atomic Heart,finished, PC,
Pentiment,finished, PC,
Nier Replicant,finished, PC,
Nier Automata,not started, PC,
Furi,finished, PC,
Devil May Cry,finished, Nintendo Switch,
Devil May Cry 3,finished, PC,
Devil May Cry 4,finished, PC,
Devil May Cry 5,finished, PC,
Deus Ex,bought, PC,
Deus Ex Invisible War,bought, PC,
Deus Ex Human Revolution,finished, PC,
Deus Ex The Fall,bought, PC,
Deus Ex Mankind Divided,finished, PC,
Injustice Gods Among Us,finished, Xbox 360, 
Assault Spy,finished, PC,
Enderal Forgotten Stories,finished, PC,
The Forgotten City,not started, PC,
Absolver,finished, PC,
Portal,finished, PC,
Portal 2,finished, PC,
Firewatch,finished, PC,
Outer Wilds,finished, PC,
Hi-Fi Rush,finished, PC,
Super Auto Pets,finished, PC,
Astroneer,finished, PC,
Vampires The Masquerade - Bloodlines,finished, PC,
Celeste,finished, PC,
BioShock,not started, PC,
BioShock 2,not started, PC,
BioShock Infinite,finished, PC,
Factorio,not started, PC,
Katana Zero,not started, PC,
Rain World,not startedv
Middle-Earth Shadows of Mordor,not started, PC,
Middle-Earth Shadows of War,not started, PC,
The Last of Us Part I,not started, PS5,
The Last of Us Part II,not started, PS5,
Space Wreck,not started, PC,
Blasphemous,bought, PS5,
Blasphemous 2,not started, PS5,
Going Under,not started, PC,
Stray,not started, PS5,
Sable,not started, PC,
Dragons Dogma, bought, PS5,
Dragons Dogma 2,not started, PS5,
The Longing,not started, PC,
Barotrauma,not started, PC,
Scarlet Nexus,not started, PS5
Metro 2033,finished, PC,
Metro Last Light,finished, PC,
Metro Exodus,finished, PC,
Metro Awakening,not started, VR,
Pennys Big Breakaway,not started, PC,
Superliminal,not started, PC,
Terra Nil,not started, PC,
Silicon Dreams,not started, VR,
Hades,not started, PC,
Hades 2,not started, PC,
Spelunky,not started, PC,
Spelunky 2,not started, PC,
Tacoma,not started, PC,
Hollow Knight,not started, PC,
Code Vein,not started, PS5, 
No Longer Home,not started, PC,
Unpacking,not started, PC,
Inscryption,started, PS5, 
Super Mario Odyssey,not started, Nintendo Switch
There Is No Game Wrong Dimension,not started, PC,
Borderlands,not started, PC,
Borderlands 2,started, PC,
Borderlands The Pre-sequel,not started, PC,
Borderlands 3,finished, PS5, 
The Cosmic Wheel Sisterhood,not started, PC,
Bomb Rush Cyberfunk,finished, PS5,
Mecha Simultactics,not started, PC,
Everhood,not started, PC,
Tunic,not started, PC,
God Hand,not started, PC,
Shadows of Doubt,not started, PC,
CARRION,not started, PC,
Unrailed,not started, PS5,
The Wandering Village,not started, PC,
Genesis Noir,not started, PC,
The Pathless,not started, PC,
Valley Peaks,not started, PC,
Spookware,not started, PC,
Aer Memories of Old,not started, PS5, 
Wandersong,bought, PC,
Bayonetta,finished, Nintendo Switch,
Bayonetta 2,finished, Nintendo Switch,
Bayonetta 3,finished, Nintendo Switch,
Bayonetta Origins,not started, Nintendo Switch,
Chicory A Colorful Tale,not started, PC, 
Viewfinder,not started, PC, 
Road 96,not started, PC, 
Rimworld,not started, PC, 
Baba Is You,not started, PC, 
Cultist Simulator,not started, PC, 
Vanquish,not started, PC, 
A Hat In Time,not started, PC, 
My Friend Pedro,not started, PC, 
Wasteland 3,not started, PS5,
Book of Travels,not started, PC, 
Cult of the Lamb,finished,PS5, 
Lovers in a Dangerous Spacetime,not started, PC, 
Kingdom Come Deliverance,bought, PC, 
Kingdom Come Deliverance 2,not started, PC, 
Potionomics,started, PC, 
Dread Delusion,finished, PC, 
ULTRAKILL,started, PC, 
Transistor,finished, PC, 
Dusk,started, PC, 
Castle Crashers,started, PC, 
Magicka,started, PC, 
Magicka 2,started, PC, 
Webbed,started, PC, 
Return of the Obra Dinn,finished, PC,
Backpack Hero,not started, PC, 
Pseudoregalia,started, PC, 
Crosscode,started, PC, 
Swords and Sandals Immortals,not started, PC, 
GwenBlade Halloween,not started, PC, 
Cloudpunk,not started, PC, 
Fear and Hunger,not started, PC, 
Half-Life,bought, PC, 
Half-Life 2,finished, PC, 
Refind Self The Personality Test Game,not started, PC, 
Tidy Cauldron,not started, PC, 
FIST Forged In Shadow Torch,not started, PC, 
Her Story,not started, PC, 
Heartbound,not started, PC, 
Lethal Company,not started, PC, 
Arcane Blast,not started, PC, 
NEODUEL Backpack Monsters,not started, PC, 
Vampire Hunters,not started, PC, 
The Binding of Isaac,not started, PC, 
Dream Daddy,not started, Mobile, 
Unification,not started, PC, 
Rogue Voltage,not started, PC, 
Thronefall,not started, PC, 
Balatro,finished, PC, 
RUMBLE,not started, VR,
The Life and Suffering of Sir Brante,not started, PC, 
SYNTHETIK 2,not started, PS5, 
Warhammer Battle Sister,not started, PC,
Warhammer Boltgun,not started, VR,
Warhammer Space Marine,not started, PS5,
Warhammer Space Marine 2,not started, PS5,
Mechabellum,not started, PC, 
Stardew Valley,not started, PC, 
Coral Island,bought, PC, 
Loop Hero,started, PC, 
Broken Edge,not started, VR,
Lucius, bought, PC, 
DICEOMANCER,not started, PC, 
ADACA,not started, PC, 
Project Silverfish,not started, PC, 
Neva,not started, PC, 
UNDERDOGS,not started, VR,
Anger Foot,not started, PC, 
Exo One,not started, PC, 
Potion Craft,not started, PC,
COMPOUND,not started, VR, 
The Last Flame,not started, PC, 
Deep Rock Galactic,not started, PC, 
Astral Ascent,not started, PC, 
WORLD OF HORROR,not started, PC, 
Tactical Breach Wizards,not start, PC, ed
Bug Fables The Everlasting Sapling,not started, PC, 
Ancient Dungeon,not started, VR,
Shady Knight,not started, PC, 
Paradise Killer,not started, PC, 
Battle Talent,not started, VR,
The Break-In,not started, PC, 
Gorilla Tag,not started, VR,
Lil Gator Game,not started, PC, 
DAVE THE DIVER,not started, PC, 
Rune Teller,not started, PC, 
CONSORTIUM VR,not started, VR,
Consortium THE TOWER,not started, VR,
Slay the Spire,not started, PC, 
The Walking Dead Saints and Sinners,not started, VR,
Elite Dangerous,not started, VR,
RUINSMAGUS,not started, PC, 
Chants of Sennaar,not started, PC, 
UFO 50,not started, PC, 
INDIKA,not started, PC, 
Star Trucker,not started, PC, 
SUPERHOT VR,not started, VR,
ANIMAL WELL,not started, PC, 
Black Book,not started, PC, 
The Axis Unseen,not started, PC, 
Caves of Qud,not started, PC, 
Kenshi,bought, PC, 
MORDHAU,not started, PC, 
Warhammer Mechanicus,not started, PC,
Warhammer Mechanicus 2,not started, PC,
BONELAB,not started, VR,
Subnautica,not started, PC, 
Gamedec,not started, PC, 
Into the Radius,not started, VR,
Pistol Whip,not started, VR,
Demon Turf,not started, PC, 
BLACKTAIL,not started, PC, 
Satisfactory,not started, PC, 
Witchfire,not started, PC, 
Kerbal Space Program,not started, PC, 
Dungeons of Hinterberg,not started, PC, 
Stellaris,not started, PC, 
No Mans Sky,not started, PS5, 
Half-Life Alyx,started, VR,
Grounded,not started, PC, 
Mount and Blade 2 Bannerlord,not started, PC, 
Mass Effect,finished, PC, 
Mass Effect 2,finished, PC, 
Mass Effect 3,finished, PC, 
Mass Effect Andromeda,bought, PS5,
Dragon Age Origins,finished, PC, 
Dragon Age 2,finished, PC, 
Dragon Age Inquisition,finished, PC, 
Dragon Age The Veilguard,finished, PC, 
STALKER Shadow of Chernobyl,finished, PC, 
STALKER Clear Sky,not started, PC, 
STALKER Call of Pripyat,not started, PC, 
STALKER 2 Heart of Chernobyl,not started, PC, 
Starfield,finished, PC, 
Sparkour,not started, PC, 
ENENRA DAEMON CORE,not started, PC, 
VA Proxy,not started, PC, 
Electrokinetic,not started, PC, 
Sorceress,not started, PC, 
VOIN,not started, PC, 
420BLAZEIT 2,not started, PC, 
Usual June,not started, PC, 
ABYSS X ZERO,not started, PC, 
Quantum Beast,not started, PC, 
Dice n Goblins,not started, PC, 
Death Stranding,finished, PS5,
Death Stranding 2,not started, PS5,
Hibernation Day,finished, PC, 
Risk of Rain 2,started, PC, 
Scrap Mechanic,started, PC, 
Session Skate Sim,started, PC, 
Vampire Survivors,finished, PC, 
Duck Game, finished, PC, 
Grand Theft Auto V,started, PC, 
Sid Meiers Civilization V,finished, PC, 
Warhammer Vermintide,bought, PC, 
Warhammer Vermintide 2,bought, PC, 
We Were Here Expeditions The FriendShip,bought, PC, 
Valheim,started, PC, 
XCOM 2,bought, PC, 
Milk inside a bag of milk inside a bag of milk,bought, PC, 
Buckshot Roulette,finished, PC, 
Avowed,started, PC, 
Rue Valley,not started, PC, 
Arcanum Of Steamworks and Magick Obscura,finished, PC, 
Blade and Sorcery,started, VR,
Epic Spell Wars of the Battle Wizards Duel at Mt. Skullzfyre,finished, Tabletop,
Epic Spell Wars of the Battle Wizards Panic at the Pleasure Palace,finished, Tabletop,
Munchkin,finished, Tabletop,
Munchkin Legends,finished, Tabletop,
Dungeons and Dragons 5e,finished, Tabletop,
Dungeons and Dragons 5e 2024,finished, Tabletop,
Pathfinder 2e,finished, Tabletop,
Starfinder,finished, Tabletop,
Vampire the Masquerade 2e,finished, Tabletop
Cyberpunk RED,finished, Tabletop
Call of Cthulhu,not started, Tabletop
Blades in the Dark,not started, Tabletop
Wanderhome,not started, Tabletop
Thousand year old vampire,not started, Tabletop
Hogwarts Legacy,finished, PS5,
Red Dead Redemption 2,finished, PS5,
No More Heroes,started, Nintendo Switch,
No More Heroes 2,not finished, Nintendo Switch,
No More Heroes 3,finished, PS5, 
Immortals of Aveum, finished, PS5,
Ghost of Tsushima, started, PS5,
Blue Prince, not started, PS5,
Another Crab's Treasure, not started, PS5,
Thief: The Dark Project, not started, PC,
Thief II: The Metal Age, not started, PC,
Thief, not started, PC,
Thief VR: Legacy of Shadow, not started, VR,
Weird West, finished, PS5,
Dying Light, started, PC,
Dying Light 2 Stay Human, not started, PC,
Detroit Become Human, finished, PS5,
The Dark Pictures Anthology: Man of Medan, finished, PS5,
Uncharted: Drake's Fortune,finished,PS5,
Uncharted 2: Among Thieves,finished,PS5,
Uncharted 3: Drake's Deception,finished,PS5,
Uncharted 4: A Thief's End, finished,PS5,
Uncharted: The Lost Legacy,finished,PS5,
A Plague Tale Innocence, started, PS5,
A Plague Tale Requiem, not started, PS5,
Kingdoms of Amalur Reckoning,bought, PC,
Persona 3,finished, PSP,
Persona 4,bought, PC,
Persona 5,finished, PS5,
Persona 5 Strikers,finished, Nintendo Switch,
Metaphor ReFantazio,not started, PS5, 
Beholder,bought, PC,
Pathologic,bought, PC,
Pathologic 2,not started, PC,
Noita,bought, PC,
Sleeping Dogs,bought, PC,
Spore,finished, PC,
Darksiders, finished, PC,
Darksiders II,not started, PC,
Darksiders III,not started, PC,
Darksiders Genesis,not started, PS5,
Sang-Froid - Tales of Werewolves,not started, PC,
Ori and the Blind Forest,finished, PC,
Ori and the Will of the Wisps,bought, PC,
Mortal Shell,bought, PC,
The Banners Saga,finished, PC,
The Banners Saga 2,bought, PC,
The Banners Saga 3,bought, PC,
Pathfinder Kingmaker,finished, PC,
Pathfinder Wrath of the Righteous,bought, PC,
Warhammer Rogue Trader,finished, PC,
Cruelty Squad,bought, PC,
Unsighted,bought, PC,
Before Your Eyes,finished, PC,
Signalis,bought, PS5
Arx Fatalis,bought, PC,
Divine Divinity,bought, PC,
Beyond Divinity,bought, PC,
Divinity 2,finished, PC,
Divinity Dragon Commander,finished, PC,
Divinity Original Sin,finished, PC,
Divinity Original Sin 2,finished, PC,
Baldurs Gate 3,finished, PC,
Darkest Dungeon,bought, PC,
Darkest Dungeon 2,not started, PC,
The Occupation,bought, PC,
Dark Souls,finished, PC,
Dark Souls II,bought, PC,
Dark Souls III,not started, PC,
Bloodborne,not started, PS5,
Sekiro Shadows Die Twice,not started, PS5,
Elden Ring,not started, PS5,
Armored Core VI Fires of Rubicon,not started, PS5,
The Elder Scrolls III Morrowind,finished, PC,
